"","Timestamp","Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
"340","8/29/2022 23:20:48",26,"Spotify",14,"Yes","No","No","Hip hop","Yes","Yes",158,"Sometimes","Sometimes","Rarely","Very frequently","Never","Very frequently","Very frequently","Rarely","Rarely","Very frequently","Rarely","Sometimes","Very frequently","Very frequently","Very frequently","Rarely",5,10,8,0,"No effect"
"341","8/30/2022 0:00:29",15,"Spotify",3,"Yes","Yes","Yes","Classical","Yes","No",118,"Very frequently","Never","Never","Never","Never","Never","Never","Rarely","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes",9,6,8,5,"Improve"
"342","8/30/2022 0:14:35",57,"YouTube Music",2,"Yes","Yes","Yes","Rock","Yes","No",125,"Never","Never","Never","Never","Never","Rarely","Sometimes","Never","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Very frequently","Never",2,2,7,0,"No effect"
"343","8/30/2022 1:01:09",12,"Spotify",0.5,"Yes","Yes","Yes","Classical","Yes","Yes",109,"Very frequently","Never","Never","Never","Never","Never","Rarely","Never","Never","Rarely","Never","Sometimes","Never","Never","Never","Never",7,8,6,2,"Improve"
"344","8/30/2022 5:16:13",26,"Spotify",6,"Yes","No","No","EDM","No","Yes",156,"Never","Never","Very frequently","Never","Never","Never","Never","Never","Never","Never","Never","Rarely","Rarely","Rarely","Never","Rarely",10,10,8,2,"No effect"
"345","8/30/2022 6:05:56",17,"Spotify",1,"Yes","Yes","No","Country","No","No",105,"Never","Very frequently","Never","Rarely","Rarely","Never","Rarely","Never","Never","Never","Rarely","Rarely","Rarely","Never","Sometimes","Rarely",8,5,2,3,"Improve"
"347","8/30/2022 9:35:28",17,"Spotify",3,"Yes","Yes","Yes","R&B","Yes","Yes",148,"Very frequently","Never","Rarely","Never","Sometimes","Very frequently","Very frequently","Very frequently","Sometimes","Never","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Never",9,10,10,3,"No effect"
"348","8/30/2022 10:10:44",32,"Spotify",12,"Yes","Yes","Yes","Jazz","Yes","Yes",200,"Never","Never","Sometimes","Rarely","Never","Sometimes","Very frequently","Rarely","Never","Sometimes","Never","Rarely","Sometimes","Rarely","Never","Never",9,4,4,4,"Improve"
"349","8/30/2022 11:05:06",22,"YouTube Music",3,"No","Yes","No","Classical","Yes","No",113,"Very frequently","Never","Never","Never","Never","Never","Sometimes","Never","Never","Never","Never","Rarely","Never","Never","Rarely","Never",8,2,4,0,"No effect"
"350","8/30/2022 11:12:36",38,"Spotify",1,"No","No","No","Metal","Yes","Yes",191,"Rarely","Never","Never","Sometimes","Never","Never","Rarely","Never","Never","Never","Very frequently","Never","Never","Never","Sometimes","Rarely",1,1,5,1,"Improve"
"351","8/30/2022 12:03:11",18,"YouTube Music",10,"Yes","No","No","EDM","Yes","No",140,"Never","Never","Very frequently","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never","Very frequently","Very frequently","Very frequently","Never","Never",10,9,9,8,"Improve"
"352","8/30/2022 13:07:20",14,"Spotify",5,"Yes","Yes","No","Classical","Yes","Yes",40,"Very frequently","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","Never","Sometimes","Sometimes","Rarely","Rarely","Very frequently",3,0,2,3,"Improve"
"353","8/30/2022 14:25:28",14,"Other",0.5,"Yes","Yes","No","Video game music","Yes","Yes",173,"Very frequently","Never","Never","Rarely","Never","Never","Rarely","Sometimes","Rarely","Never","Never","Very frequently","Never","Never","Never","Very frequently",4,0,4,0,"Improve"
"354","8/30/2022 14:43:14",19,"Spotify",5,"Yes","Yes","Yes","Metal","Yes","Yes",180,"Rarely","Rarely","Rarely","Rarely","Never","Rarely","Rarely","Never","Rarely","Sometimes","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Sometimes",2,3,5,2,"Improve"
"355","8/30/2022 16:04:47",20,"YouTube Music",3,"Yes","Yes","Yes","Classical","Yes","No",100,"Very frequently","Sometimes","Rarely","Sometimes","Rarely","Rarely","Very frequently","Rarely","Rarely","Never","Rarely","Sometimes","Sometimes","Rarely","Rarely","Rarely",2,3,3,0,"Improve"
"356","8/30/2022 16:43:28",18,"Spotify",2,"No","No","No","Rock","Yes","No",123,"Never","Very frequently","Never","Rarely","Rarely","Rarely","Rarely","Never","Never","Never","Sometimes","Very frequently","Never","Sometimes","Sometimes","Sometimes",8,4,3,0,"Improve"
"357","8/30/2022 17:33:13",31,"Other",4,"Yes","Yes","No","Classical","Yes","Yes",55,"Very frequently","Rarely","Never","Rarely","Rarely","Never","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Never","Sometimes","Sometimes",8,8,9,3,"Improve"
"360","8/31/2022 1:39:16",16,"Spotify",4,"Yes","No","No","Pop","Yes","Yes",150,"Rarely","Rarely","Sometimes","Sometimes","Rarely","Very frequently","Rarely","Sometimes","Rarely","Sometimes","Rarely","Very frequently","Rarely","Rarely","Rarely","Rarely",7.5,5,7,8.5,"Improve"
"361","8/31/2022 5:45:08",19,"YouTube Music",3,"No","Yes","No","Rap","Yes","Yes",73,"Rarely","Never","Sometimes","Never","Never","Sometimes","Rarely","Never","Never","Rarely","Never","Sometimes","Rarely","Very frequently","Sometimes","Sometimes",3,3,0,0,"Improve"
"362","8/31/2022 6:36:13",16,"Spotify",2,"Yes","Yes","No","Classical","No","No",155,"Very frequently","Rarely","Never","Rarely","Never","Rarely","Rarely","Never","Never","Rarely","Never","Very frequently","Never","Never","Rarely","Rarely",7,5,3,1,"Improve"
"363","8/31/2022 8:35:00",39,"Spotify",1,"Yes","No","No","Hip hop","Yes","Yes",89,"Never","Rarely","Rarely","Sometimes","Never","Very frequently","Rarely","Rarely","Rarely","Sometimes","Sometimes","Very frequently","Sometimes","Very frequently","Very frequently","Never",6,4,1,1,"Improve"
"364","8/31/2022 9:42:46",15,"Spotify",6,"Yes","Yes","No","K pop","Yes","Yes",110,"Sometimes","Never","Rarely","Sometimes","Never","Rarely","Sometimes","Very frequently","Sometimes","Sometimes","Rarely","Very frequently","Sometimes","Rarely","Very frequently","Never",8,8,7,10,"No effect"
"365","8/31/2022 12:53:28",14,"Spotify",9,"Yes","No","No","R&B","Yes","Yes",140,"Very frequently","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Very frequently","Rarely","Sometimes","Rarely","Very frequently","Very frequently","Very frequently","Rarely","Rarely",10,8,9,5,"Improve"
"366","8/31/2022 13:20:39",21,"Spotify",1,"No","No","No","Country","No","No",135,"Never","Very frequently","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never",3,0,2,0,"Improve"
"367","8/31/2022 14:28:33",38,"Apple Music",1,"Yes","No","No","Video game music","No","No",125,"Rarely","Never","Never","Never","Never","Rarely","Sometimes","Rarely","Rarely","Never","Rarely","Sometimes","Rarely","Rarely","Rarely","Very frequently",5,5,7,1,"Worsen"
"368","8/31/2022 15:48:18",23,"Spotify",0.5,"No","No","Yes","Hip hop","Yes","Yes",110,"Sometimes","Sometimes","Rarely","Rarely","Rarely","Very frequently","Rarely","Very frequently","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Very frequently","Rarely","Sometimes",7,7,6,5,"Improve"
"369","8/31/2022 16:47:03",16,"Other",1,"No","No","No","EDM","Yes","No",140,"Never","Never","Very frequently","Never","Never","Sometimes","Rarely","Never","Never","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes",7,4,6,3,"Improve"
"370","8/31/2022 18:56:39",13,"Spotify",6,"Yes","No","No","Rap","Yes","No",112,"Never","Never","Never","Never","Never","Very frequently","Never","Rarely","Never","Rarely","Never","Rarely","Never","Very frequently","Never","Never",4,0,0,2,"Worsen"
"371","8/31/2022 20:40:05",16,"Spotify",4,"Yes","No","No","Rock","Yes","No",96,"Rarely","Sometimes","Sometimes","Sometimes","Never","Sometimes","Rarely","Sometimes","Never","Very frequently","Very frequently","Very frequently","Never","Never","Very frequently","Sometimes",3,0,6,9,"Improve"
"372","8/31/2022 23:09:44",21,"Spotify",4,"Yes","No","No","Metal","Yes","Yes",155,"Never","Never","Very frequently","Never","Never","Never","Never","Never","Never","Rarely","Sometimes","Never","Never","Never","Very frequently","Very frequently",10,6,8,0,"Improve"
"373","9/1/2022 1:16:46",17,"Spotify",1.5,"Yes","No","No","Classical","Yes","Yes",174,"Very frequently","Rarely","Never","Rarely","Never","Never","Sometimes","Never","Never","Sometimes","Never","Very frequently","Rarely","Never","Never","Never",7,5,1,2,"No effect"
"374","9/1/2022 2:32:43",24,"Apple Music",2,"Yes","No","No","Rock","Yes","Yes",93,"Rarely","Sometimes","Never","Very frequently","Never","Sometimes","Sometimes","Never","Rarely","Sometimes","Never","Rarely","Rarely","Sometimes","Very frequently","Never",7,7,0,4,"No effect"
"375","9/1/2022 3:38:02",14,"Apple Music",2,"Yes","No","No","Pop","Yes","No",78,"Rarely","Never","Never","Sometimes","Never","Sometimes","Never","Rarely","Very frequently","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Rarely","Never",6,0,0,0,"Improve"
"376","9/1/2022 5:20:01",22,"Spotify",3,"Yes","No","No","Other","Yes","Yes",174,"Rarely","Very frequently","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Very frequently","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely",7,6,7,9,"Improve"
"377","9/1/2022 9:25:07",20,"Other",4,"Yes","No","No","Rock","Yes","Yes",120,"Rarely","Never","Sometimes","Never","Never","Rarely","Never","Very frequently","Rarely","Rarely","Sometimes","Very frequently","Rarely","Rarely","Very frequently","Rarely",5,7,7,0,"No effect"
"378","9/1/2022 12:04:47",23,"Spotify",2,"Yes","No","No","Pop","No","No",75,"Sometimes","Rarely","Rarely","Sometimes","Never","Very frequently","Sometimes","Never","Never","Never","Never","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes",7,6,4,3,"Improve"
"379","9/1/2022 13:13:06",61,"Pandora",2,"Yes","No","No","Rock","Yes","No",94,"Never","Never","Never","Rarely","Never","Never","Never","Rarely","Never","Never","Sometimes","Sometimes","Rarely","Never","Sometimes","Never",2,2,2,0,"Improve"
"380","9/1/2022 13:14:34",24,"Spotify",6,"Yes","No","No","Video game music","No","Yes",180,"Sometimes","Never","Sometimes","Very frequently","Never","Never","Never","Rarely","Never","Rarely","Sometimes","Rarely","Never","Never","Very frequently","Very frequently",9,5,0,7,"Improve"
"381","9/1/2022 14:56:21",34,"Spotify",0,"No","Yes","No","Rock","No","Yes",115,"Rarely","Rarely","Never","Sometimes","Never","Never","Never","Never","Never","Never","Rarely","Never","Never","Never","Very frequently","Never",3,7,8,0,"Worsen"
"382","9/1/2022 14:57:20",49,"Spotify",1,"No","No","No","Pop","Yes","No",128,"Sometimes","Never","Never","Never","Never","Very frequently","Rarely","Never","Never","Very frequently","Never","Very frequently","Very frequently","Very frequently","Sometimes","Never",4,5,9,1,"Improve"
"383","9/1/2022 14:59:20",33,"Other",4,"Yes","Yes","No","Rock","Yes","Yes",112,"Rarely","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Never","Never","Very frequently","Rarely","Sometimes","Rarely","Rarely","Very frequently","Very frequently",1,0,7,0,"Improve"
"384","9/1/2022 15:01:10",22,"Other",2,"No","Yes","Yes","Metal","No","No",140,"Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Rarely","Never","Very frequently","Very frequently",3,2,0,2,"No effect"
"385","9/1/2022 15:05:15",38,"Spotify",3,"Yes","No","No","Metal","Yes","Yes",143,"Rarely","Never","Never","Never","Never","Never","Never","Never","Never","Never","Very frequently","Never","Never","Rarely","Sometimes","Never",1,6,1,2,"Improve"
"386","9/1/2022 15:21:55",23,"YouTube Music",4,"No","No","No","Hip hop","Yes","No",72,"Rarely","Rarely","Never","Rarely","Never","Very frequently","Rarely","Never","Never","Sometimes","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Rarely",8,10,4,0,"No effect"
"387","9/1/2022 15:24:02",34,"Other",2,"No","No","No","Video game music","No","Yes",100,"Rarely","Rarely","Rarely","Never","Never","Sometimes","Rarely","Rarely","Never","Rarely","Rarely","Never","Never","Sometimes","Rarely","Very frequently",8,10,10,0,"No effect"
"388","9/1/2022 15:24:13",40,"Other",3,"Yes","No","No","Metal","Yes","Yes",120,"Never","Never","Never","Never","Never","Never","Sometimes","Never","Sometimes","Never","Very frequently","Rarely","Rarely","Never","Sometimes","Never",3,0,8,1,"No effect"
"389","9/1/2022 15:50:14",16,"Spotify",10,"No","No","No","Rock","Yes","No",105,"Rarely","Very frequently","Never","Very frequently","Rarely","Rarely","Sometimes","Never","Never","Never","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Never",0,0,0,0,"No effect"
"390","9/1/2022 16:00:05",23,"Other",10,"Yes","No","No","Video game music","No","Yes",119,"Rarely","Never","Sometimes","Sometimes","Never","Rarely","Never","Sometimes","Never","Sometimes","Rarely","Sometimes","Never","Rarely","Sometimes","Very frequently",8,8,5,0,"Improve"
"391","9/1/2022 16:11:18",22,"YouTube Music",4,"Yes","No","No","Folk","Yes","Yes",137,"Rarely","Sometimes","Very frequently","Very frequently","Never","Sometimes","Sometimes","Never","Rarely","Sometimes","Very frequently","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes",8,7,6,2,"Improve"
"392","9/1/2022 16:30:33",41,"Spotify",3,"No","No","No","Metal","Yes","Yes",178,"Very frequently","Rarely","Never","Rarely","Never","Never","Never","Sometimes","Never","Never","Very frequently","Rarely","Never","Rarely","Sometimes","Very frequently",6,5,4,0,"No effect"
"393","9/1/2022 16:35:30",63,"Spotify",2,"Yes","No","No","Rock","Yes","No",133,"Very frequently","Sometimes","Rarely","Very frequently","Never","Rarely","Sometimes","Never","Rarely","Never","Never","Never","Rarely","Never","Very frequently","Never",5,4,6,2,"Improve"
"394","9/1/2022 16:38:05",28,"Spotify",1,"No","Yes","No","Rock","Yes","No",72,"Rarely","Rarely","Never","Rarely","Never","Rarely","Never","Never","Never","Sometimes","Rarely","Sometimes","Never","Rarely","Sometimes","Never",3,1,0,2,"No effect"
"395","9/1/2022 16:43:48",58,"YouTube Music",1,"Yes","No","No","Rock","Yes","No",133,"Rarely","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Never","Rarely","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Never",5,6,3,1,"Improve"
"396","9/1/2022 16:58:12",58,"YouTube Music",1,"Yes","Yes","Yes","Classical","Yes","No",80,"Sometimes","Rarely","Never","Rarely","Sometimes","Rarely","Sometimes","Rarely","Rarely","Never","Never","Rarely","Never","Never","Never","Never",0,0,2,1,"Improve"
"399","9/1/2022 17:27:50",60,"YouTube Music",2,"Yes","No","No","Rock","No","Yes",132,"Sometimes","Sometimes","Never","Sometimes","Rarely","Never","Rarely","Never","Rarely","Never","Rarely","Sometimes","Sometimes","Rarely","Very frequently","Rarely",4,4,2,0,"Improve"
"400","9/1/2022 17:33:02",15,"Spotify",2,"Yes","Yes","Yes","Pop","Yes","No",102,"Rarely","Rarely","Sometimes","Never","Sometimes","Rarely","Sometimes","Sometimes","Never","Never","Never","Very frequently","Sometimes","Never","Sometimes","Very frequently",9,8,10,9,"Improve"
"401","9/1/2022 17:48:55",18,"YouTube Music",6,"Yes","No","No","EDM","Yes","Yes",91,"Very frequently","Rarely","Very frequently","Rarely","Sometimes","Very frequently","Sometimes","Never","Sometimes","Very frequently","Sometimes","Very frequently","Very frequently","Very frequently","Sometimes","Very frequently",5,5,7,0,"Improve"
"402","9/1/2022 17:51:31",58,"Other",3,"Yes","No","No","Hip hop","Yes","Yes",127,"Sometimes","Never","Sometimes","Rarely","Sometimes","Very frequently","Very frequently","Never","Sometimes","Very frequently","Never","Rarely","Very frequently","Sometimes","Sometimes","Never",4,6,8,1,"Improve"
"403","9/1/2022 18:02:53",28,"Other",1,"Yes","No","No","Other","Yes","Yes",82,"Sometimes","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Very frequently","Rarely","Sometimes","Sometimes","Rarely","Sometimes","Sometimes",4,8,5,0,"Improve"
"404","9/1/2022 18:10:41",22,"Spotify",4,"Yes","Yes","No","Other","Yes","No",141,"Rarely","Rarely","Never","Sometimes","Never","Rarely","Sometimes","Never","Never","Very frequently","Rarely","Sometimes","Rarely","Rarely","Very frequently","Never",9,10,6,7,"Improve"
"405","9/1/2022 18:11:35",49,"YouTube Music",0.5,"No","No","No","Classical","No","No",114,"Very frequently","Sometimes","Rarely","Sometimes","Very frequently","Sometimes","Sometimes","Rarely","Rarely","Never","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely",3,2,2,2,"Improve"
"406","9/1/2022 18:38:46",20,"YouTube Music",8,"Yes","No","No","Rock","Yes","Yes",148,"Never","Rarely","Rarely","Sometimes","Never","Never","Rarely","Never","Never","Rarely","Sometimes","Rarely","Sometimes","Never","Very frequently","Sometimes",6,2,2,1,"Improve"
"407","9/1/2022 19:08:55",55,"YouTube Music",15,"Yes","No","No","Rock","No","No",156,"Rarely","Never","Never","Very frequently","Never","Never","Sometimes","Never","Rarely","Never","Never","Rarely","Never","Never","Very frequently","Never",2,0,3,0,"No effect"
"408","9/1/2022 19:09:32",48,"Spotify",1.5,"Yes","Yes","No","Metal","No","No",185,"Rarely","Never","Rarely","Never","Never","Never","Rarely","Never","Never","Never","Sometimes","Never","Rarely","Never","Rarely","Rarely",10,8,0,4,"Improve"
"409","9/1/2022 19:36:54",14,"Spotify",2,"Yes","Yes","No","K pop","Yes","Yes",114,"Sometimes","Never","Rarely","Never","Never","Sometimes","Sometimes","Very frequently","Never","Sometimes","Never","Rarely","Rarely","Rarely","Never","Rarely",4,4,2,2,"Improve"
"410","9/1/2022 19:39:07",18,"Spotify",3,"Yes","Yes","No","Pop","Yes","Yes",120,"Sometimes","Never","Sometimes","Rarely","Never","Very frequently","Sometimes","Very frequently","Very frequently","Sometimes","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes",7,8,6,2,"Improve"
"411","9/1/2022 19:39:49",25,"Spotify",1,"Yes","No","No","Pop","Yes","Yes",80,"Very frequently","Rarely","Rarely","Rarely","Never","Sometimes","Sometimes","Never","Never","Rarely","Very frequently","Very frequently","Rarely","Sometimes","Sometimes","Sometimes",7,6,5,5,"Improve"
"412","9/1/2022 20:36:10",18,"Other",1,"Yes","No","Yes","Video game music","No","No",116,"Rarely","Rarely","Sometimes","Sometimes","Never","Rarely","Sometimes","Never","Never","Never","Sometimes","Never","Rarely","Sometimes","Sometimes","Very frequently",4,5,7,0,"No effect"
"413","9/1/2022 21:05:57",19,"Spotify",5,"Yes","No","No","Hip hop","No","Yes",99,"Rarely","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Never","Rarely","Very frequently","Never","Rarely","Sometimes","Sometimes","Very frequently","Rarely","Sometimes",10,7,0,0,"Improve"
"415","9/1/2022 21:14:09",36,"Pandora",1,"Yes","No","No","Hip hop","No","No",131,"Sometimes","Never","Never","Never","Never","Very frequently","Never","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Sometimes","Never",7,6,2,3,"Improve"
"416","9/1/2022 21:24:34",14,"Spotify",7,"Yes","No","No","Other","Yes","Yes",95,"Never","Never","Never","Never","Never","Sometimes","Never","Never","Never","Very frequently","Never","Very frequently","Never","Sometimes","Never","Rarely",3,2,8,0,"Improve"
"417","9/1/2022 21:44:49",20,"Spotify",3,"No","Yes","Yes","Hip hop","Yes","Yes",80,"Very frequently","Rarely","Rarely","Sometimes","Never","Very frequently","Sometimes","Never","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Very frequently","Very frequently","Rarely",10,7,4,3,"Improve"
"418","9/1/2022 22:38:20",15,"Spotify",3,"Yes","No","No","K pop","Yes","Yes",204,"Rarely","Never","Rarely","Never","Never","Very frequently","Sometimes","Very frequently","Never","Never","Never","Rarely","Sometimes","Very frequently","Sometimes","Very frequently",4,0,0,0,"No effect"
"419","9/1/2022 23:11:19",19,"Other",7,"Yes","No","No","Rock","No","No",128,"Sometimes","Rarely","Never","Rarely","Never","Never","Sometimes","Never","Never","Never","Rarely","Never","Never","Never","Very frequently","Sometimes",7,7,0,0,"Improve"
"420","9/2/2022 0:08:07",29,"Spotify",8,"Yes","No","No","EDM","No","Yes",140,"Rarely","Sometimes","Very frequently","Sometimes","Never","Sometimes","Rarely","Never","Never","Rarely","Sometimes","Never","Never","Very frequently","Very frequently","Very frequently",6,7,4,1,"Improve"
"421","9/2/2022 0:20:40",24,"Spotify",2,"Yes","No","No","Metal","Yes","No",159,"Never","Rarely","Very frequently","Sometimes","Very frequently","Never","Never","Never","Never","Rarely","Very frequently","Rarely","Never","Never","Sometimes","Rarely",7,6,2,7,"Improve"
"422","9/2/2022 0:32:48",18,"Apple Music",2,"Yes","No","No","Pop","Yes","Yes",104,"Rarely","Rarely","Rarely","Rarely","Rarely","Very frequently","Rarely","Rarely","Sometimes","Rarely","Sometimes","Very frequently","Very frequently","Very frequently","Very frequently","Never",6,5,8,0,"Improve"
"423","9/2/2022 1:03:00",21,"Spotify",2,"Yes","No","No","Rock","Yes","Yes",97,"Sometimes","Never","Never","Sometimes","Never","Rarely","Rarely","Rarely","Never","Rarely","Never","Very frequently","Rarely","Rarely","Very frequently","Rarely",10,10,2,3,"Improve"
"424","9/2/2022 1:59:54",19,"Spotify",2,"Yes","No","No","K pop","Yes","Yes",80,"Rarely","Never","Rarely","Never","Never","Sometimes","Sometimes","Very frequently","Never","Sometimes","Never","Sometimes","Very frequently","Rarely","Sometimes","Sometimes",7,6,5,1,"Improve"
"425","9/2/2022 2:19:59",25,"Spotify",4,"No","No","No","Video game music","Yes","Yes",134,"Sometimes","Never","Never","Rarely","Rarely","Never","Never","Rarely","Very frequently","Never","Never","Very frequently","Sometimes","Never","Never","Very frequently",3,0,0,0,"Improve"
"426","9/2/2022 3:27:21",27,"Other",4,"Yes","No","No","Rap","Yes","No",135,"Rarely","Never","Never","Never","Never","Sometimes","Rarely","Sometimes","Never","Sometimes","Never","Rarely","Never","Very frequently","Rarely","Rarely",7,6,6,5,"Improve"
"427","9/2/2022 3:32:55",60,"Spotify",1,"No","No","No","Rock","Yes","No",129,"Sometimes","Rarely","Never","Sometimes","Never","Never","Sometimes","Never","Never","Never","Never","Rarely","Rarely","Never","Sometimes","Never",3,2,5,0,"No effect"
"428","9/2/2022 4:56:02",43,"Other",1,"No","No","No","Country","No","No",110,"Never","Very frequently","Never","Never","Never","Rarely","Never","Never","Never","Never","Never","Sometimes","Never","Never","Rarely","Never",5,1,1,1,"Improve"
"429","9/2/2022 4:56:56",51,"Other",5,"Yes","No","No","Rock","No","No",180,"Sometimes","Rarely","Never","Sometimes","Never","Never","Rarely","Never","Never","Never","Sometimes","Rarely","Rarely","Never","Very frequently","Rarely",1,2,1,0,"No effect"
"430","9/2/2022 5:21:18",63,"YouTube Music",8,"Yes","No","No","Rock","Yes","No",70,"Sometimes","Sometimes","Rarely","Rarely","Never","Never","Rarely","Never","Rarely","Rarely","Never","Sometimes","Rarely","Never","Sometimes","Never",2,1,2,2,"Improve"
"431","9/2/2022 6:20:43",24,"YouTube Music",1,"Yes","No","No","Folk","No","Yes",103,"Sometimes","Never","Very frequently","Very frequently","Rarely","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Rarely","Sometimes","Rarely","Sometimes","Very frequently","Very frequently",10,10,7,8,"Improve"
"432","9/2/2022 6:41:49",19,"Spotify",8,"Yes","No","No","Pop","Yes","Yes",99,"Rarely","Sometimes","Sometimes","Very frequently","Never","Very frequently","Never","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Sometimes","Very frequently","Very frequently","Rarely",7,2,1,6,"Improve"
"433","9/2/2022 7:13:38",56,"Apple Music",8,"Yes","No","No","Pop","Yes","No",117,"Sometimes","Rarely","Rarely","Sometimes","Never","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Never",6,4,1,0,"Improve"
"434","9/2/2022 7:13:53",20,"Spotify",1,"No","No","No","EDM","Yes","No",102,"Rarely","Never","Very frequently","Never","Never","Sometimes","Never","Rarely","Rarely","Very frequently","Rarely","Very frequently","Never","Never","Never","Never",5,9,6,1,"Improve"
"435","9/2/2022 7:29:17",19,"Other",1,"Yes","Yes","No","Video game music","No","No",127,"Very frequently","Never","Never","Rarely","Rarely","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Never","Sometimes","Sometimes","Rarely","Rarely","Very frequently",7,5,7,0,"Improve"
"436","9/2/2022 7:53:55",20,"Spotify",8,"Yes","No","No","Jazz","Yes","Yes",93,"Rarely","Sometimes","Rarely","Very frequently","Never","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Never","Sometimes","Rarely","Sometimes","Sometimes","Rarely",7,6,7,4,"Improve"
"437","9/2/2022 8:06:29",65,"Apple Music",6,"Yes","No","No","R&B","No","Yes",146,"Rarely","Rarely","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Never","Never","Sometimes","Very frequently","Never","Sometimes","Never",3,5,0,2,"No effect"
"438","9/2/2022 9:15:48",28,"Spotify",3,"No","Yes","Yes","Metal","Yes","Yes",0,"Very frequently","Never","Rarely","Sometimes","Rarely","Rarely","Very frequently","Rarely","Sometimes","Very frequently","Very frequently","Rarely","Sometimes","Never","Very frequently","Very frequently",8,8,5,2,"Improve"
"439","9/2/2022 9:25:05",18,"Other",4,"Yes","Yes","No","EDM","No","Yes",150,"Very frequently","Never","Very frequently","Never","Never","Never","Rarely","Never","Never","Rarely","Never","Sometimes","Never","Rarely","Rarely","Sometimes",8,7,10,6,"Improve"
"440","9/2/2022 9:54:23",42,"Spotify",2,"Yes","No","No","Rock","No","Yes",85,"Rarely","Never","Never","Never","Never","Rarely","Never","Never","Never","Never","Never","Sometimes","Rarely","Rarely","Sometimes","Rarely",2,4,5,2,"Improve"
"442","9/2/2022 15:24:02",56,"Other",2,"No","No","No","Jazz","Yes","Yes",120,"Sometimes","Never","Sometimes","Sometimes","Rarely","Never","Very frequently","Never","Rarely","Rarely","Rarely","Sometimes","Rarely","Never","Sometimes","Rarely",0,0,0,5,"No effect"
"443","9/2/2022 16:14:44",20,"YouTube Music",1,"Yes","No","No","Pop","No","Yes",120,"Never","Never","Sometimes","Never","Never","Rarely","Sometimes","Very frequently","Rarely","Rarely","Never","Very frequently","Sometimes","Rarely","Rarely","Never",8,6,9,8,"Improve"
"444","9/2/2022 16:36:02",15,"Spotify",1,"Yes","No","No","Video game music","Yes","Yes",150,"Never","Rarely","Sometimes","Never","Never","Sometimes","Rarely","Never","Never","Very frequently","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Very frequently",4,2,3,2,"Improve"
"445","9/2/2022 19:39:37",57,"Spotify",2,"Yes","Yes","No","Other","No","No",174,"Sometimes","Never","Never","Rarely","Very frequently","Never","Sometimes","Never","Rarely","Never","Never","Sometimes","Sometimes","Never","Rarely","Never",6,4,10,0,"Improve"
