"","Timestamp","Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
"184","8/28/2022 22:03:40",18,"Spotify",3,"Yes","Yes","No","Rock","Yes","No",118,"Sometimes","Never","Never","Rarely","Never","Never","Sometimes","Never","Never","Rarely","Rarely","Sometimes","Never","Never","Very frequently","Rarely",10,2,0,0,"Improve"
"185","8/28/2022 22:04:16",18,"Spotify",2,"Yes","No","No","K pop","Yes","Yes",130,"Rarely","Never","Sometimes","Never","Never","Never","Never","Very frequently","Never","Never","Rarely","Sometimes","Never","Never","Rarely","Never",6,0,0,0,"Improve"
"186","8/28/2022 22:05:53",25,"Spotify",7,"Yes","No","No","Pop","No","Yes",120,"Never","Sometimes","Very frequently","Rarely","Rarely","Sometimes","Never","Very frequently","Rarely","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Rarely","Sometimes",2,0,1,0,"Improve"
"187","8/28/2022 22:09:11",31,"YouTube Music",9,"Yes","No","No","Pop","Yes","Yes",158,"Rarely","Rarely","Rarely","Sometimes","Never","Never","Rarely","Rarely","Rarely","Very frequently","Sometimes","Very frequently","Never","Rarely","Sometimes","Sometimes",9,0,2,0,"Improve"
"188","8/28/2022 22:10:24",17,"Spotify",2,"Yes","No","No","Pop","Yes","Yes",160,"Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Never","Never","Rarely","Very frequently","Rarely","Sometimes","Sometimes","Never",5,4,1,1,"Improve"
"189","8/28/2022 22:13:00",30,"Other",1,"No","No","No","Country","No","No",119,"Never","Very frequently","Never","Never","Never","Sometimes","Never","Never","Never","Never","Never","Very frequently","Rarely","Sometimes","Sometimes","Rarely",8,10,2,0,"Improve"
"190","8/28/2022 22:14:01",40,"Apple Music",2,"Yes","No","No","Metal","Yes","Yes",120,"Sometimes","Never","Sometimes","Rarely","Never","Rarely","Rarely","Never","Never","Rarely","Very frequently","Rarely","Rarely","Rarely","Very frequently","Never",3,6,2,1,"No effect"
"191","8/28/2022 22:14:30",64,"Other",4,"Yes","No","No","Rock","No","No",200,"Sometimes","Rarely","Sometimes","Rarely","Never","Rarely","Sometimes","Rarely","Rarely","Never","Rarely","Sometimes","Rarely","Rarely","Sometimes","Rarely",4,4,2,1,"Improve"
"192","8/28/2022 22:21:12",14,"Spotify",2,"Yes","Yes","No","Rock","Yes","Yes",136,"Rarely","Never","Never","Sometimes","Never","Sometimes","Rarely","Never","Never","Never","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Rarely",7,5,2,6,"Improve"
"193","8/28/2022 22:30:17",26,"YouTube Music",6,"Yes","No","No","Rock","Yes","No",104,"Sometimes","Never","Never","Rarely","Never","Rarely","Sometimes","Never","Never","Never","Rarely","Sometimes","Never","Rarely","Very frequently","Never",3,2,0,0,"No effect"
"194","8/28/2022 22:32:47",35,"Spotify",4,"Yes","Yes","Yes","Country","Yes","Yes",90,"Rarely","Very frequently","Rarely","Sometimes","Rarely","Very frequently","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Very frequently","Never",9,9,5,1,"Improve"
"195","8/28/2022 22:38:36",33,"Other",1,"No","No","No","Rock","No","No",120,"Never","Never","Never","Never","Never","Sometimes","Never","Never","Rarely","Never","Never","Sometimes","Rarely","Rarely","Very frequently","Never",3,10,4,1,"No effect"
"196","8/28/2022 22:39:24",30,"Spotify",6,"Yes","No","No","Folk","Yes","Yes",89,"Sometimes","Rarely","Never","Very frequently","Rarely","Never","Rarely","Never","Never","Sometimes","Sometimes","Rarely","Never","Never","Very frequently","Never",9,0,5,0,"No effect"
"197","8/28/2022 22:49:17",27,"Spotify",5,"Yes","No","Yes","Folk","Yes","Yes",140,"Rarely","Never","Sometimes","Very frequently","Sometimes","Rarely","Rarely","Sometimes","Sometimes","Very frequently","Sometimes","Very frequently","Sometimes","Never","Very frequently","Very frequently",0,9,4,0,"Improve"
"198","8/28/2022 22:51:01",53,"Other",1.5,"No","No","No","Pop","Yes","Yes",92,"Rarely","Never","Very frequently","Sometimes","Never","Sometimes","Never","Rarely","Sometimes","Never","Never","Very frequently","Rarely","Sometimes","Sometimes","Never",2,2,2,1,"No effect"
"199","8/28/2022 22:51:30",23,"Spotify",5,"Yes","Yes","Yes","Metal","Yes","Yes",120,"Sometimes","Rarely","Never","Rarely","Never","Never","Rarely","Never","Never","Never","Very frequently","Rarely","Never","Never","Very frequently","Never",6,9,2,1,"Improve"
"200","8/28/2022 22:53:43",25,"Spotify",2,"Yes","No","Yes","EDM","Yes","No",128,"Rarely","Rarely","Very frequently","Rarely","Never","Sometimes","Sometimes","Sometimes","Never","Rarely","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Rarely",6,4,1,0,"Improve"
"201","8/28/2022 22:58:10",16,"Apple Music",4,"Yes","Yes","No","K pop","Yes","Yes",140,"Very frequently","Rarely","Rarely","Sometimes","Rarely","Very frequently","Sometimes","Very frequently","Sometimes","Very frequently","Very frequently","Very frequently","Sometimes","Rarely","Sometimes","Rarely",8,9,4,0,"Improve"
"202","8/28/2022 23:19:35",31,"YouTube Music",6,"Yes","No","No","EDM","Yes","Yes",136,"Rarely","Rarely","Very frequently","Rarely","Never","Sometimes","Never","Never","Never","Rarely","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes",8,6,5,6,"No effect"
"203","8/28/2022 23:23:20",31,"Spotify",1,"No","No","No","Rock","No","Yes",132,"Sometimes","Rarely","Never","Never","Never","Rarely","Never","Never","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Very frequently","Sometimes",3,10,0,0,"Worsen"
"204","8/28/2022 23:23:41",38,"Spotify",6,"Yes","Yes","No","Pop","Yes","Yes",107,"Very frequently","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Rarely","Sometimes","Sometimes","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Never",9,4,9,7,"Improve"
"205","8/28/2022 23:23:50",17,"Spotify",4,"No","Yes","No","Classical","Yes","Yes",135,"Very frequently","Never","Never","Never","Never","Very frequently","Very frequently","Rarely","Very frequently","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Never","Rarely",7,9,2,8,"Worsen"
"206","8/28/2022 23:26:58",25,"Apple Music",2,"No","No","No","EDM","No","Yes",171,"Never","Sometimes","Very frequently","Rarely","Never","Never","Never","Never","Never","Never","Rarely","Sometimes","Never","Never","Very frequently","Rarely",10,3,1,4,"Improve"
"207","8/28/2022 23:34:19",20,"Spotify",2,"No","Yes","Yes","Metal","No","Yes",220,"Rarely","Never","Never","Never","Never","Never","Rarely","Never","Never","Never","Very frequently","Never","Never","Rarely","Sometimes","Rarely",0,0,0,1,"No effect"
"208","8/28/2022 23:34:37",15,"Spotify",2,"Yes","No","No","EDM","No","No",171,"Never","Never","Very frequently","Never","Never","Sometimes","Never","Never","Never","Never","Never","Rarely","Rarely","Sometimes","Never","Rarely",9,6,1,7,"No effect"
"209","8/28/2022 23:40:54",16,"Spotify",4,"Yes","No","Yes","Other","Yes","No",85,"Rarely","Rarely","Very frequently","Rarely","Never","Rarely","Rarely","Never","Never","Very frequently","Rarely","Sometimes","Never","Rarely","Rarely","Very frequently",7,1,3,5,"Improve"
"210","8/28/2022 23:42:24",20,"Spotify",2,"Yes","Yes","No","EDM","No","Yes",174,"Sometimes","Never","Very frequently","Never","Never","Sometimes","Never","Sometimes","Never","Never","Never","Sometimes","Never","Never","Sometimes","Sometimes",9,7,5,7,"Improve"
"211","8/28/2022 23:47:13",23,"Other",6,"Yes","No","No","Rap","Yes","Yes",87,"Never","Never","Sometimes","Sometimes","Never","Rarely","Never","Sometimes","Sometimes","Never","Never","Very frequently","Very frequently","Sometimes","Rarely","Never",3,1,2,7,"Improve"
"212","8/28/2022 23:50:25",22,"Spotify",3,"Yes","No","No","Hip hop","Yes","Yes",77,"Rarely","Never","Sometimes","Rarely","Never","Very frequently","Rarely","Never","Sometimes","Rarely","Sometimes","Very frequently","Sometimes","Very frequently","Sometimes","Rarely",6,6,8,0,"Improve"
"213","8/28/2022 23:54:34",15,"Other",5,"Yes","No","No","Rock","Yes","Yes",126,"Rarely","Never","Very frequently","Rarely","Never","Never","Never","Never","Never","Sometimes","Rarely","Very frequently","Never","Never","Very frequently","Sometimes",10,6,0,4,"Improve"
"214","8/28/2022 23:56:06",17,"Other",0.5,"Yes","Yes","No","Video game music","No","Yes",136,"Rarely","Sometimes","Sometimes","Never","Never","Never","Rarely","Never","Never","Never","Rarely","Sometimes","Rarely","Rarely","Sometimes","Very frequently",6,3,1,1,"Improve"
"215","8/29/2022 0:03:43",22,"YouTube Music",1,"Yes","No","No","Video game music","Yes","Yes",80,"Rarely","Never","Rarely","Sometimes","Never","Rarely","Never","Never","Never","Sometimes","Never","Rarely","Never","Never","Rarely","Very frequently",3,3,0,7,"No effect"
"216","8/29/2022 0:05:09",21,"Spotify",10,"Yes","No","No","Metal","Yes","Yes",92,"Never","Rarely","Rarely","Never","Never","Very frequently","Never","Rarely","Never","Never","Very frequently","Sometimes","Sometimes","Very frequently","Very frequently","Sometimes",9,10,2,2,"No effect"
"217","8/29/2022 0:05:36",19,"Spotify",2,"Yes","No","No","Pop","No","Yes",120,"Rarely","Never","Sometimes","Rarely","Never","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Never","Very frequently","Very frequently","Sometimes","Very frequently","Very frequently",7,5,0,2,"No effect"
"218","8/29/2022 0:32:36",34,"YouTube Music",1,"No","No","No","Rock","No","Yes",138,"Rarely","Never","Never","Sometimes","Never","Rarely","Never","Never","Rarely","Never","Never","Rarely","Never","Sometimes","Very frequently","Never",9,9,6,4,"Improve"
"219","8/29/2022 0:33:06",18,"Other",2,"Yes","Yes","No","Metal","Yes","Yes",150,"Sometimes","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","Very frequently","Rarely","Never","Rarely","Very frequently","Sometimes",5,7,7,2,"Improve"
"220","8/29/2022 0:33:49",21,"Spotify",3,"Yes","No","No","Country","Yes","No",108,"Rarely","Very frequently","Never","Sometimes","Rarely","Rarely","Never","Never","Never","Never","Rarely","Sometimes","Never","Never","Very frequently","Sometimes",0,8,0,5,"Improve"
